Date,Open,High,Low,Close
2020-04-27 14:00:00,286.51,287.6,286.5,287.36
2020-04-27 15:00:00,287.36,288.27,287.04,287.11
2020-04-28 09:00:00,291.03,291.4,289.45,289.48
2020-04-28 10:00:00,289.48,289.99,285.62,285.85
2020-04-28 11:00:00,285.85,287.79,285.58,286.83
2020-04-28 12:00:00,286.83,287.52,285.7,287.31
2020-04-28 13:00:00,287.31,288.02,287.0,287.45
2020-04-28 14:00:00,287.45,288.36,287.07,287.35
2020-04-28 15:00:00,287.35,288.09,285.4,285.77
2020-04-29 09:00:00,291.54,292.03,290.41,291.97
2020-04-29 10:00:00,291.97,292.67,290.8,292.39
2020-04-29 11:00:00,292.39,293.14,291.91,292.89
2020-04-29 12:00:00,292.89,294.37,292.88,293.95
2020-04-29 13:00:00,293.95,294.58,293.38,293.66
2020-04-29 14:00:00,293.66,294.12,292.51,293.98
2020-04-29 15:00:00,293.98,294.87,293.07,293.19
2020-04-30 09:00:00,291.71,291.72,289.58,291.24
2020-04-30 10:00:00,291.24,292.24,290.57,291.04
2020-04-30 11:00:00,291.04,291.92,289.55,289.6
2020-04-30 12:00:00,289.6,290.13,288.58,289.97
2020-04-30 13:00:00,289.97,290.42,289.11,289.21
2020-04-30 14:00:00,289.21,290.21,288.86,289.33
2020-04-30 15:00:00,289.33,291.18,289.11,290.39
2020-05-01 09:00:00,285.31,286.04,284.42,285.07
2020-05-01 10:00:00,285.07,285.96,284.16,285.1
2020-05-01 11:00:00,285.1,285.1,282.41,282.72
2020-05-01 12:00:00,282.72,283.03,281.61,282.3
2020-05-01 13:00:00,282.3,282.77,281.52,281.96
2020-05-01 14:00:00,281.96,282.84,281.57,282.56
2020-05-01 15:00:00,282.56,283.4,281.63,282.73
2020-05-04 09:00:00,280.72,280.97,279.13,280.58
2020-05-04 10:00:00,280.58,282.11,280.43,280.69
2020-05-04 11:00:00,280.69,281.88,280.54,281.42
2020-05-04 12:00:00,281.42,282.05,280.91,281.1
2020-05-04 13:00:00,281.1,281.49,280.2,281.45
2020-05-04 14:00:00,281.45,282.6,281.1,282.48
2020-05-04 15:00:00,282.48,283.9,282.26,283.66
2020-05-05 09:00:00,286.62,288.16,286.25,288.15
2020-05-05 10:00:00,288.15,288.47,287.35,287.97
2020-05-05 11:00:00,287.97,288.96,287.82,288.87
2020-05-05 12:00:00,288.87,289.24,288.3,288.4
2020-05-05 13:00:00,288.4,288.95,288.0,288.74
2020-05-05 14:00:00,288.74,289.25,288.46,289.23
2020-05-05 15:00:00,289.23,289.23,285.75,286.22
2020-05-06 09:00:00,288.03,288.46,285.83,286.36
2020-05-06 10:00:00,286.36,287.86,285.06,287.16
2020-05-06 11:00:00,287.16,287.58,285.53,286.12
2020-05-06 12:00:00,286.12,287.05,285.85,286.64
2020-05-06 13:00:00,286.64,287.42,285.97,287.01
2020-05-06 14:00:00,287.01,287.01,285.74,286.26
2020-05-06 15:00:00,286.26,286.58,284.01,284.29
2020-05-07 09:00:00,287.75,288.96,287.58,288.63
2020-05-07 10:00:00,288.63,288.73,287.22,287.62
2020-05-07 11:00:00,287.62,289.72,287.58,289.43
2020-05-07 12:00:00,289.43,289.78,288.78,289.25
2020-05-07 13:00:00,289.25,289.57,288.51,288.82
2020-05-07 14:00:00,288.82,289.0,287.62,288.07
2020-05-07 15:00:00,288.07,288.45,287.14,287.7
2020-05-08 09:00:00,291.08,291.37,289.85,290.8
2020-05-08 10:00:00,290.8,291.52,290.54,290.84
2020-05-08 11:00:00,290.84,291.85,290.43,291.73
2020-05-08 12:00:00,291.73,292.0,291.49,291.94
2020-05-08 13:00:00,291.94,292.05,290.76,291.1
2020-05-08 14:00:00,291.1,291.75,290.78,291.66
2020-05-08 15:00:00,291.66,292.85,291.49,292.47
2020-05-11 09:00:00,290.34,291.22,289.88,290.45
2020-05-11 10:00:00,290.45,291.4,290.38,290.88
2020-05-11 11:00:00,290.88,292.0,290.82,291.95
2020-05-11 12:00:00,291.95,293.09,291.71,292.98
2020-05-11 13:00:00,292.98,294.0,292.77,293.36
2020-05-11 14:00:00,293.36,293.75,292.71,293.49
2020-05-11 15:00:00,293.49,294.0,292.5,292.56
2020-05-12 09:00:00,293.78,294.24,291.54,292.27
2020-05-12 10:00:00,292.27,292.77,291.61,292.53
2020-05-12 11:00:00,292.53,293.13,291.95,292.51
2020-05-12 12:00:00,292.51,292.65,292.0,292.51
2020-05-12 13:00:00,292.51,292.56,290.5,291.48
2020-05-12 14:00:00,291.48,291.56,290.24,291.05
2020-05-12 15:00:00,291.05,291.13,286.55,286.62
2020-05-13 09:00:00,286.05,286.38,283.62,284.85
2020-05-13 10:00:00,284.85,287.19,284.57,284.75
2020-05-13 11:00:00,284.75,285.39,281.18,281.88
2020-05-13 12:00:00,281.88,282.27,279.61,281.73
2020-05-13 13:00:00,281.73,282.07,280.43,280.78
2020-05-13 14:00:00,280.78,281.83,279.67,279.67
2020-05-13 15:00:00,279.67,282.09,278.97,281.67
2020-05-14 09:00:00,278.94,279.79,276.61,276.91
2020-05-14 10:00:00,276.91,280.63,276.37,279.87
2020-05-14 11:00:00,279.87,281.62,279.02,279.78
2020-05-14 12:00:00,279.78,282.64,279.4,282.42
2020-05-14 13:00:00,282.42,283.65,281.82,282.09
2020-05-14 14:00:00,282.09,282.71,281.05,282.18
2020-05-14 15:00:00,282.18,285.1,281.93,285.06
2020-05-15 09:00:00,282.37,284.22,281.34,283.85
2020-05-15 10:00:00,283.85,285.08,282.58,282.91
2020-05-15 11:00:00,282.91,283.3,281.88,283.14
2020-05-15 12:00:00,283.14,284.78,282.95,284.13
2020-05-15 13:00:00,284.13,285.14,284.06,284.99
2020-05-15 14:00:00,284.99,285.95,284.48,284.61
2020-05-15 15:00:00,284.61,286.33,284.36,286.26
2020-05-18 09:00:00,293.05,294.19,292.7,293.27
2020-05-18 10:00:00,293.27,294.69,292.87,294.53
2020-05-18 11:00:00,294.53,295.58,294.48,295.04
2020-05-18 12:00:00,295.04,295.25,294.52,294.81
2020-05-18 13:00:00,294.81,295.79,294.76,295.58
2020-05-18 14:00:00,295.58,296.07,295.39,295.69
2020-05-18 15:00:00,295.69,296.68,294.94,295.0
2020-05-19 09:00:00,294.34,294.73,293.52,294.65
2020-05-19 10:00:00,294.65,295.87,294.2,295.28
2020-05-19 11:00:00,295.28,295.99,294.93,295.44
2020-05-19 12:00:00,295.44,295.68,294.73,295.23
2020-05-19 13:00:00,295.23,295.68,294.95,295.5
2020-05-19 14:00:00,295.5,296.2,293.73,294.04
2020-05-19 15:00:00,294.04,295.83,291.95,292.02
2020-05-20 09:00:00,295.8,296.79,295.57,296.61
2020-05-20 10:00:00,296.61,297.55,296.47,297.1
2020-05-20 11:00:00,297.1,297.87,296.93,297.58
2020-05-20 12:00:00,297.58,297.74,296.1,296.87
2020-05-20 13:00:00,296.87,296.99,295.97,296.5
2020-05-20 14:00:00,296.5,297.43,295.83,297.11
2020-05-20 15:00:00,297.11,297.34,296.22,296.96
2020-05-21 09:00:00,296.78,297.67,296.26,297.13
2020-05-21 10:00:00,297.13,297.43,295.26,295.82
2020-05-21 11:00:00,295.82,295.82,293.69,294.85
2020-05-21 12:00:00,294.85,295.93,294.58,294.95
2020-05-21 13:00:00,294.95,295.82,294.73,295.19
2020-05-21 14:00:00,295.19,295.81,294.38,294.72
2020-05-21 15:00:00,294.72,295.66,294.51,294.79
2020-05-22 09:00:00,294.57,294.85,293.4,294.28
2020-05-22 10:00:00,294.28,294.53,293.22,293.46
2020-05-22 11:00:00,293.46,294.19,293.27,293.98
2020-05-22 12:00:00,293.98,294.73,293.67,294.43
2020-05-22 13:00:00,294.43,294.84,294.3,294.75
2020-05-22 14:00:00,294.75,295.44,294.71,295.04
2020-05-22 15:00:00,295.04,295.63,294.24,295.42
2020-05-26 09:00:00,301.93,302.19,300.66,300.84
2020-05-26 10:00:00,300.84,301.54,300.37,301.32
2020-05-26 11:00:00,301.32,301.58,299.9,300.41
2020-05-26 12:00:00,300.41,301.08,300.08,301.03
2020-05-26 13:00:00,301.03,301.47,300.89,301.11
2020-05-26 14:00:00,301.11,301.45,300.73,301.04
2020-05-26 15:00:00,301.04,301.08,298.69,299.15
2020-05-27 09:00:00,302.1,302.23,299.57,299.89
2020-05-27 10:00:00,299.89,300.59,296.86,298.04
2020-05-27 11:00:00,298.04,299.62,297.41,299.54
2020-05-27 12:00:00,299.54,300.52,299.28,300.17
2020-05-27 13:00:00,300.17,300.49,299.45,300.36
2020-05-27 14:00:00,300.36,301.78,300.36,301.74
2020-05-27 15:00:00,301.74,303.57,301.37,303.48
2020-05-28 09:00:00,304.65,304.87,303.32,304.16
2020-05-28 10:00:00,304.16,305.19,303.67,305.1
2020-05-28 11:00:00,305.1,305.58,304.5,305.56
2020-05-28 12:00:00,305.56,306.43,305.22,306.25
2020-05-28 13:00:00,306.25,306.84,306.24,306.46
2020-05-28 14:00:00,306.46,306.65,305.46,305.97
2020-05-28 15:00:00,305.97,306.45,302.24,302.96
2020-05-29 09:00:00,302.46,303.14,301.78,302.23
2020-05-29 10:00:00,302.23,302.59,300.63,301.03
2020-05-29 11:00:00,301.03,302.07,300.48,301.67
2020-05-29 12:00:00,301.67,302.27,299.55,301.64
2020-05-29 13:00:00,301.64,301.87,300.72,301.15
2020-05-29 14:00:00,301.15,303.64,300.07,303.57
2020-05-29 15:00:00,303.57,304.96,303.1,304.16
2020-06-01 09:00:00,303.61,304.71,303.06,304.2
2020-06-01 10:00:00,304.2,305.29,303.95,305.06
2020-06-01 11:00:00,305.06,305.14,304.25,305.0
2020-06-01 12:00:00,305.0,305.67,304.7,305.5
2020-06-01 13:00:00,305.5,306.2,305.47,305.9
2020-06-01 14:00:00,305.9,306.03,305.47,305.98
2020-06-01 15:00:00,305.98,306.14,305.3,305.58
2020-06-02 09:00:00,306.55,306.6,305.51,306.27
2020-06-02 10:00:00,306.27,307.27,305.83,306.39
2020-06-02 11:00:00,306.39,306.41,305.09,305.86
2020-06-02 12:00:00,305.86,306.55,305.76,306.4
2020-06-02 13:00:00,306.4,307.14,306.37,307.06
2020-06-02 14:00:00,307.06,307.19,306.15,306.79
2020-06-02 15:00:00,306.79,308.13,306.03,308.13
2020-06-03 09:00:00,310.23,310.86,309.94,310.57
2020-06-03 10:00:00,310.57,311.36,310.45,311.0
2020-06-03 11:00:00,311.0,312.06,310.97,311.71
2020-06-03 12:00:00,311.71,311.74,311.19,311.22
2020-06-03 13:00:00,311.22,311.67,311.14,311.36
2020-06-03 14:00:00,311.36,312.38,311.3,312.13
2020-06-03 15:00:00,312.13,313.22,311.93,312.21
2020-06-04 09:00:00,311.11,312.25,310.96,312.09
2020-06-04 10:00:00,312.09,313.0,311.89,312.77
2020-06-04 11:00:00,312.77,312.89,311.08,311.53
2020-06-04 12:00:00,311.53,311.75,310.47,310.48
2020-06-04 13:00:00,310.48,311.68,310.39,311.51
2020-06-04 14:00:00,311.51,311.69,310.13,310.14
2020-06-04 15:00:00,310.14,311.34,309.08,311.31
2020-06-05 09:00:00,317.27,318.66,317.16,317.65
2020-06-05 10:00:00,317.65,319.19,317.5,319.15
2020-06-05 11:00:00,319.15,321.27,319.07,320.32
2020-06-05 12:00:00,320.32,320.45,319.22,320.13
2020-06-05 13:00:00,320.13,320.74,319.68,320.07
2020-06-05 14:00:00,320.07,320.61,319.31,319.69
2020-06-05 15:00:00,319.69,320.14,318.37,319.27
2020-06-08 09:00:00,320.22,321.21,320.15,320.79
2020-06-08 10:00:00,320.79,320.93,319.63,320.73
2020-06-08 11:00:00,320.73,321.37,320.61,320.85
2020-06-08 12:00:00,320.85,321.12,320.48,320.84
2020-06-08 13:00:00,320.84,321.91,320.74,321.76
2020-06-08 14:00:00,321.76,322.16,321.62,322.06
2020-06-08 15:00:00,322.06,323.41,321.67,323.25
2020-06-09 09:00:00,320.29,320.76,319.65,319.78
2020-06-09 10:00:00,319.78,321.69,319.36,321.37
2020-06-09 11:00:00,321.37,321.75,320.47,320.62
2020-06-09 12:00:00,320.62,321.45,320.17,321.42
2020-06-09 13:00:00,321.42,322.23,321.26,321.97
2020-06-09 14:00:00,321.97,322.08,320.95,321.7
2020-06-09 15:00:00,321.7,322.37,320.48,320.81
2020-06-10 09:00:00,321.4,321.78,319.61,320.29
2020-06-10 10:00:00,320.29,320.6,318.22,318.7
2020-06-10 11:00:00,318.7,320.16,318.55,319.72
2020-06-10 12:00:00,319.72,320.51,319.38,320.23
2020-06-10 13:00:00,320.23,320.51,319.79,320.0
2020-06-10 14:00:00,320.0,322.4,318.94,319.93
2020-06-10 15:00:00,319.93,321.48,318.88,319.01
2020-06-11 09:00:00,311.45,312.14,310.01,311.65
2020-06-11 10:00:00,311.65,311.96,308.92,309.1
